item_id,order_id,product_id,quantity,unit_price_idr,subtotal_idr
ITM000001,ORD000001,PRD070,1,349000,349000
ITM000002,ORD000001,PRD001,2,599000,1198000
ITM000003,ORD000001,PRD148,1,449000,449000
ITM000004,ORD000002,PRD086,1,329000,329000
ITM000005,ORD000002,PRD258,1,129000,129000
ITM000006,ORD000002,PRD256,1,49000,49000
ITM000007,ORD000003,PRD076,1,199000,199000
ITM000008,ORD000004,PRD205,1,119000,119000
ITM000009,ORD000005,PRD239,2,179000,358000
ITM000010,ORD000006,PRD170,1,349000,349000
ITM000011,ORD000007,PRD013,1,149000,149000
ITM000012,ORD000007,PRD230,2,129000,258000
ITM000013,ORD000008,PRD281,1,149000,149000
ITM000014,ORD000008,PRD290,3,279000,837000
ITM000015,ORD000009,PRD202,1,249000,249000
ITM000016,ORD000010,PRD034,1,279000,279000
ITM000017,ORD000011,PRD191,3,49000,147000
ITM000018,ORD000011,PRD241,1,79000,79000
ITM000019,ORD000012,PRD126,1,279000,279000
ITM000020,ORD000013,PRD076,1,199000,199000
ITM000021,ORD000014,PRD170,1,349000,349000
ITM000022,ORD000015,PRD061,1,599000,599000
ITM000023,ORD000015,PRD158,3,599000,1797000
ITM000024,ORD000015,PRD121,2,89000,178000
ITM000025,ORD000016,PRD052,1,399000,399000
ITM000026,ORD000016,PRD043,1,149000,149000
ITM000027,ORD000016,PRD005,2,599000,1198000
ITM000028,ORD000017,PRD183,1,119000,119000
ITM000029,ORD000017,PRD293,1,249000,249000
ITM000030,ORD000018,PRD137,1,119000,119000
ITM000031,ORD000019,PRD050,1,89000,89000
ITM000032,ORD000019,PRD255,1,179000,179000
ITM000033,ORD000020,PRD159,1,89000,89000
ITM000034,ORD000020,PRD168,1,79000,79000
ITM000035,ORD000020,PRD108,1,229000,229000
ITM000036,ORD000021,PRD223,1,499000,499000
ITM000037,ORD000021,PRD210,1,249000,249000
ITM000038,ORD000022,PRD034,1,279000,279000
ITM000039,ORD000023,PRD217,3,129000,387000
ITM000040,ORD000023,PRD162,2,119000,238000
ITM000041,ORD000024,PRD123,3,89000,267000
ITM000042,ORD000024,PRD263,2,89000,178000
ITM000043,ORD000024,PRD254,1,299000,299000
ITM000044,ORD000025,PRD257,1,59000,59000
ITM000045,ORD000025,PRD104,1,229000,229000
ITM000046,ORD000026,PRD021,1,549000,549000
ITM000047,ORD000027,PRD214,2,549000,1098000
ITM000048,ORD000028,PRD297,1,349000,349000
ITM000049,ORD000028,PRD131,1,99000,99000
ITM000050,ORD000029,PRD157,1,69000,69000
ITM000051,ORD000029,PRD027,1,229000,229000
ITM000052,ORD000030,PRD220,1,329000,329000
ITM000053,ORD000031,PRD219,1,229000,229000
ITM000054,ORD000032,PRD139,1,599000,599000
ITM000055,ORD000032,PRD092,1,69000,69000
ITM000056,ORD000033,PRD129,1,79000,79000
ITM000057,ORD000034,PRD180,1,279000,279000
ITM000058,ORD000035,PRD035,2,399000,798000
ITM000059,ORD000035,PRD117,2,49000,98000
ITM000060,ORD000036,PRD009,1,499000,499000
ITM000061,ORD000036,PRD191,1,49000,49000
ITM000062,ORD000037,PRD283,1,249000,249000
ITM000063,ORD000038,PRD133,2,399000,798000
ITM000064,ORD000039,PRD146,1,329000,329000
ITM000065,ORD000040,PRD109,1,599000,599000
ITM000066,ORD000041,PRD153,1,179000,179000
ITM000067,ORD000041,PRD283,1,249000,249000
ITM000068,ORD000042,PRD003,1,349000,349000
ITM000069,ORD000042,PRD055,2,129000,258000
ITM000070,ORD000042,PRD245,1,129000,129000
ITM000071,ORD000043,PRD009,1,499000,499000
ITM000072,ORD000043,PRD241,1,79000,79000
ITM000073,ORD000044,PRD199,1,69000,69000
ITM000074,ORD000045,PRD255,1,179000,179000
ITM000075,ORD000046,PRD128,1,279000,279000
ITM000076,ORD000047,PRD055,1,129000,129000
ITM000077,ORD000048,PRD075,1,499000,499000
ITM000078,ORD000048,PRD106,1,99000,99000
ITM000079,ORD000049,PRD031,1,69000,69000
ITM000080,ORD000049,PRD235,1,59000,59000
ITM000081,ORD000050,PRD103,1,499000,499000
ITM000082,ORD000051,PRD261,1,279000,279000
ITM000083,ORD000051,PRD075,1,499000,499000
ITM000084,ORD000051,PRD057,1,299000,299000
ITM000085,ORD000052,PRD272,1,249000,249000
ITM000086,ORD000052,PRD094,3,89000,267000
ITM000087,ORD000053,PRD218,1,199000,199000
ITM000088,ORD000053,PRD129,1,79000,79000
ITM000089,ORD000054,PRD124,1,179000,179000
ITM000090,ORD000055,PRD212,1,499000,499000
ITM000091,ORD000056,PRD210,1,249000,249000
ITM000092,ORD000057,PRD124,1,179000,179000
ITM000093,ORD000057,PRD023,1,149000,149000
ITM000094,ORD000057,PRD244,1,49000,49000
ITM000095,ORD000058,PRD001,1,599000,599000
ITM000096,ORD000058,PRD219,2,229000,458000
ITM000097,ORD000059,PRD120,1,89000,89000
ITM000098,ORD000059,PRD024,1,149000,149000
ITM000099,ORD000060,PRD154,1,119000,119000
ITM000100,ORD000060,PRD222,1,179000,179000
ITM000101,ORD000061,PRD109,1,599000,599000
ITM000102,ORD000061,PRD038,1,299000,299000
ITM000103,ORD000062,PRD232,1,49000,49000
ITM000104,ORD000062,PRD081,1,229000,229000
ITM000105,ORD000062,PRD273,1,179000,179000
ITM000106,ORD000063,PRD239,2,179000,358000
ITM000107,ORD000063,PRD047,1,329000,329000
ITM000108,ORD000064,PRD070,1,349000,349000
ITM000109,ORD000064,PRD028,1,299000,299000
ITM000110,ORD000065,PRD171,1,129000,129000
