order_id,customer_id,order_date,total_amount_idr,shipping_city,shipping_province,shipping_cost_idr,payment_method,order_status,promo_code,discount_amount_idr,courier
ORD000001,CUST0474,2023-03-23,1951591,Banjarmasin,Kalimantan Selatan,32066,Transfer Bank,shipped,WEEKEND25,44409,JNE
ORD000002,CUST0478,2025-02-26,507000,Palembang,Sumatera Selatan,33769,Kartu Kredit,delivered,,,JNE
ORD000003,CUST0306,2022-07-13,199000,Tangerang,Banten,12060,Transfer Bank,delivered,,,SiCepat
ORD000004,CUST0777,2024-11-26,119000,Medan,Sumatera Utara,29005,Transfer Bank,cancelled,,,Anteraja
ORD000005,CUST0210,2023-07-31,358000,Bandung,Jawa Barat,11192,Kartu Kredit,cancelled,,,JNE
ORD000006,CUST0444,2022-05-12,349000,Balikpapan,Kalimantan Timur,37816,Transfer Bank,returned,,,SiCepat
ORD000007,CUST0170,2022-02-05,407000,Bekasi,Jawa Barat,13600,Transfer Bank,delivered,,,JNE
ORD000008,CUST0637,2023-06-02,954364,Manado,Sulawesi Utara,34020,Kartu Kredit,processing,WEEKEND25,31636,J&T
ORD000009,CUST0677,2024-12-24,230288,Surabaya,Jawa Timur,13179,Transfer Bank,cancelled,HARBOLNAS22,18712,JNE
ORD000010,CUST0200,2023-04-14,264669,Pontianak,Kalimantan Barat,30484,GoPay,delivered,HARI BELANJA,14331,Pos Indonesia
ORD000011,CUST0225,2023-03-30,226000,Bekasi,Jawa Barat,9935,Transfer Bank,delivered,,,Anteraja
ORD000012,CUST0760,2023-11-11,251162,Balikpapan,Kalimantan Timur,40940,OVO,shipped,HARI BELANJA,27838,J&T
ORD000013,CUST0337,2025-02-16,199000,Depok,Jawa Barat,9420,QRIS,delivered,,,Anteraja
ORD000014,CUST0225,2024-04-15,334654,Medan,Sumatera Utara,36425,GoPay,delivered,HARI BELANJA,14346,SiCepat
ORD000015,CUST0794,2023-01-14,2537438,Pekanbaru,Riau,29080,Transfer Bank,delivered,NEWUSER,36562,JNE
ORD000016,CUST0441,2024-05-08,1746000,Manado,Sulawesi Utara,34701,GoPay,delivered,,,J&T
ORD000017,CUST0715,2024-01-01,355448,Semarang,Jawa Tengah,12267,Transfer Bank,returned,RAMADAN23,12552,J&T
ORD000018,CUST0597,2022-01-20,119000,Bogor,Jawa Barat,11574,Kartu Kredit,cancelled,,,SiCepat
ORD000019,CUST0539,2022-10-10,247331,Balikpapan,Kalimantan Timur,37574,OVO,delivered,FLASHSALE,20669,SiCepat
ORD000020,CUST0712,2023-08-12,377322,Malang,Jawa Timur,16405,OVO,processing,RAMADAN23,19678,J&T
ORD000021,CUST0111,2025-01-05,748000,Pontianak,Kalimantan Barat,32628,Kartu Kredit,shipped,,,J&T
ORD000022,CUST0566,2024-05-30,279000,Malang,Jawa Timur,21336,GoPay,delivered,,,JNE
ORD000023,CUST0259,2023-08-15,625000,Banjarmasin,Kalimantan Selatan,34512,Kartu Kredit,cancelled,,,J&T
ORD000024,CUST0189,2022-03-31,744000,Tangerang,Banten,9763,GoPay,returned,,,JNE
ORD000025,CUST0790,2022-06-23,288000,Balikpapan,Kalimantan Timur,40074,GoPay,delivered,,,J&T
ORD000026,CUST0755,2024-05-17,549000,Tangerang,Banten,13331,QRIS,shipped,,,SiCepat
ORD000027,CUST0561,2023-08-02,1098000,Yogyakarta,DI Yogyakarta,13146,GoPay,shipped,,,SiCepat
ORD000028,CUST0624,2024-06-27,408558,Balikpapan,Kalimantan Timur,37360,Transfer Bank,cancelled,NEWUSER,39442,Anteraja
ORD000029,CUST0245,2023-07-02,298000,Denpasar,Bali,28769,Kartu Kredit,delivered,,,J&T
ORD000030,CUST0566,2023-02-28,329000,Malang,Jawa Timur,17186,OVO,delivered,,,J&T
ORD000031,CUST0492,2022-03-30,200075,Pekanbaru,Riau,26230,Transfer Bank,delivered,RAMADAN23,28925,JNE
ORD000032,CUST0317,2025-01-03,624526,Medan,Sumatera Utara,38976,QRIS,returned,HARI BELANJA,43474,JNE
ORD000033,CUST0126,2023-10-09,79000,Depok,Jawa Barat,11918,Kartu Kredit,delivered,,,J&T
ORD000034,CUST0636,2024-02-03,279000,Yogyakarta,DI Yogyakarta,15802,Transfer Bank,processing,,,J&T
ORD000035,CUST0775,2023-09-25,896000,Semarang,Jawa Tengah,13372,Transfer Bank,shipped,,,SiCepat
ORD000036,CUST0571,2024-07-11,548000,Manado,Sulawesi Utara,35262,Kartu Kredit,delivered,,,JNE
ORD000037,CUST0323,2024-02-05,218221,Pontianak,Kalimantan Barat,36528,OVO,delivered,HARBOLNAS22,30779,JNE
ORD000038,CUST0252,2023-07-10,798000,Balikpapan,Kalimantan Timur,31746,Transfer Bank,delivered,,,Pos Indonesia
ORD000039,CUST0288,2023-07-03,329000,Tangerang,Banten,9615,GoPay,shipped,,,J&T
ORD000040,CUST0141,2025-01-12,570879,Malang,Jawa Timur,21984,Transfer Bank,delivered,HARBOLNAS22,28121,Anteraja
ORD000041,CUST0319,2024-09-25,428000,Bandung,Jawa Barat,10652,Kartu Kredit,delivered,,,J&T
ORD000042,CUST0042,2023-07-03,687278,Bogor,Jawa Barat,12204,OVO,delivered,SALE2024,48722,JNE
ORD000043,CUST0575,2024-04-03,541268,Bandung,Jawa Barat,11516,OVO,delivered,NEWUSER,36732,Anteraja
ORD000044,CUST0006,2024-05-19,69000,Makassar,Sulawesi Selatan,42718,Kartu Kredit,delivered,,,JNE
ORD000045,CUST0353,2022-10-14,152424,Malang,Jawa Timur,16206,Transfer Bank,cancelled,NEWUSER,26576,JNE
ORD000046,CUST0708,2022-03-27,279000,Medan,Sumatera Utara,26965,QRIS,delivered,,,SiCepat
ORD000047,CUST0701,2023-04-09,129000,Manado,Sulawesi Utara,32046,OVO,shipped,,,SiCepat
ORD000048,CUST0151,2024-02-28,598000,Bekasi,Jawa Barat,12367,GoPay,delivered,,,JNE
ORD000049,CUST0679,2023-08-31,108780,Padang,Sumatera Barat,24801,Transfer Bank,delivered,MEMBER10,19220,JNE
ORD000050,CUST0291,2023-07-25,463402,Denpasar,Bali,28676,Transfer Bank,delivered,HARI BELANJA,35598,J&T
ORD000051,CUST0277,2023-04-15,1040543,Jakarta,DKI Jakarta,11199,Transfer Bank,delivered,MEMBER10,36457,JNE
ORD000052,CUST0021,2022-02-08,484546,Denpasar,Bali,24002,Kartu Kredit,shipped,HARBOLNAS22,31454,J&T
ORD000053,CUST0787,2024-09-14,228576,Tangerang,Banten,9011,GoPay,delivered,WEEKEND25,49424,SiCepat
ORD000054,CUST0579,2024-02-13,179000,Palembang,Sumatera Selatan,25215,Kartu Kredit,delivered,,,Anteraja
ORD000055,CUST0442,2025-01-23,499000,Palembang,Sumatera Selatan,31259,Kartu Kredit,delivered,,,Anteraja
ORD000056,CUST0106,2024-09-15,225298,Palembang,Sumatera Selatan,25616,OVO,delivered,HARI BELANJA,23702,JNE
ORD000057,CUST0096,2023-04-20,377000,Pontianak,Kalimantan Barat,41195,Transfer Bank,delivered,,,SiCepat
ORD000058,CUST0007,2025-02-27,1057000,Bogor,Jawa Barat,12709,Transfer Bank,delivered,,,JNE
ORD000059,CUST0570,2024-01-24,208667,Makassar,Sulawesi Selatan,40276,OVO,shipped,SALE2024,29333,JNE
ORD000060,CUST0472,2022-08-08,298000,Manado,Sulawesi Utara,32515,Transfer Bank,cancelled,,,JNE
ORD000061,CUST0486,2023-03-12,870559,Yogyakarta,DI Yogyakarta,14434,OVO,cancelled,SALE2024,27441,JNE
ORD000062,CUST0731,2024-09-29,428704,Balikpapan,Kalimantan Timur,44760,QRIS,cancelled,HARI BELANJA,28296,Anteraja
ORD000063,CUST0324,2023-04-30,687000,Balikpapan,Kalimantan Timur,42645,Kartu Kredit,delivered,,,JNE
ORD000064,CUST0056,2023-12-18,622240,Medan,Sumatera Utara,34176,GoPay,cancelled,SALE2024,25760,J&T
