product_id,name,category,sub_category,price_idr,stock,brand,material,avg_rating
PRD001,Dress Bodycon Pesona Indo,dress,Atasan Wanita,599000,0,Pesona Indo,Linen,5.0
PRD002,Kaos Oversize BajuKita,T-Shirt,Atasan Pria,329000,239,BajuKita,Cotton 100%,3.7
PRD003,Dress Maxi Polos Senja Wear,dress,Atasan Wanita,349000,80,Senja Wear,Cotton-Polyester,4.7
PRD004,Ikat Pinggang Kulit Cendana Co,Accessories,Aksesoris,199000,309,Cendana Co,Denim,4.6
PRD005,Dress Bodycon Senja Wear,dress,Atasan Wanita,599000,192,Senja Wear,Polyester,3.5
PRD006,Celana Kulot Tropika Style,Pants,Bawahan Wanita,119000,193,Tropika Style,Polyester,4.9
PRD007,T-Shirt Graphic Cendana Co,Kaos,Atasan Wanita,119000,1,Cendana Co,Rayon,4.9
PRD008,Jaket Bomber Senja Wear,Jaket,Outwear,549000,222,Senja Wear,Denim,3.9
PRD009,Kaos Striped Riang Apparel,T-Shirt,Atasan Pria,499000,41,Riang Apparel,Twill,4.7
PRD010,Kaos Raglan BajuKita,kaos,Atasan Pria,99000,414,BajuKita,Cotton Combed 30s,3.6
PRD011,Topi Baseball Cendana Co,Aksesoris,Aksesoris,149000,370,Cendana Co,Rayon,4.8
PRD012,Kemeja Batik NusaBrand,Shirt,Atasan Wanita,599000,26,NusaBrand,Twill,3.7
PRD013,Celana Cargo NusaBrand,Celana,Bawahan Pria,149000,100,NusaBrand,Cotton 100%,4.0
PRD014,Jaket Hoodie Riang Apparel,Jacket,Outwear,449000,489,Riang Apparel,Cotton Combed 30s,3.7
PRD015,Kaos Oversize Kanvas Lokal,Kaos,Atasan Pria,449000,55,Kanvas Lokal,Linen,4.5
PRD016,Dress Maxi Polos Ratu Mode,Dress,Atasan Wanita,89000,63,Ratu Mode,Polyester,3.9
PRD017,Jacket Denim Ratu Mode,Jacket,Outwear,149000,13,Ratu Mode,Katun Bambu,3.9
PRD018,Dress Maxi Polos Cendana Co,dress,Atasan Wanita,299000,218,Cendana Co,Drill,4.1
PRD019,Jaket Hoodie Senja Wear,Jaket,Outwear,119000,482,Senja Wear,Denim,3.6
PRD020,Kemeja Linen Senja Wear,kemeja,Atasan Pria,59000,182,Senja Wear,Katun Bambu,4.4
PRD021,Celana Jogger SandangIndo,Pants,Bawahan Pria,549000,52,SandangIndo,Rayon,4.0
