cohort_month,initial_customers,month_index,active_customers,retention_pct
2022-01,37,0,37,100.0
2022-01,37,1,1,2.7
2022-01,37,2,2,5.41
2022-01,37,3,1,2.7
2022-01,37,4,1,2.7
2022-01,37,5,2,5.41
2022-01,37,6,2,5.41
2022-01,37,7,3,8.11
2022-01,37,9,1,2.7
2022-01,37,11,5,13.51
2022-01,37,12,5,13.51
2022-01,37,13,3,8.11
2022-01,37,14,7,18.92
2022-01,37,15,3,8.11
2022-01,37,16,3,8.11
2022-01,37,17,7,18.92
2022-01,37,18,3,8.11
2022-01,37,19,5,13.51
2022-01,37,20,4,10.81
2022-01,37,22,1,2.7
2022-01,37,23,2,5.41
2022-01,37,24,1,2.7
2022-01,37,25,3,8.11
2022-01,37,26,2,5.41
2022-01,37,27,3,8.11
2022-01,37,28,3,8.11
2022-01,37,29,2,5.41
2022-01,37,30,5,13.51
2022-01,37,31,3,8.11
2022-01,37,32,6,16.22
2022-01,37,33,2,5.41
2022-01,37,34,5,13.51
2022-01,37,35,5,13.51
2022-01,37,36,6,16.22
2022-01,37,37,1,2.7
2022-02,22,0,22,100.0
2022-02,22,1,1,4.55
2022-02,22,3,1,4.55
2022-02,22,6,3,13.64
2022-02,22,7,1,4.55
2022-02,22,8,1,4.55
2022-02,22,9,1,4.55
2022-02,22,10,1,4.55
2022-02,22,11,6,27.27
2022-02,22,12,2,9.09
2022-02,22,13,3,13.64
2022-02,22,14,3,13.64
2022-02,22,15,5,22.73
2022-02,22,16,4,18.18
2022-02,22,17,3,13.64
2022-02,22,18,2,9.09
2022-02,22,20,3,13.64
2022-02,22,21,2,9.09
2022-02,22,22,2,9.09
2022-02,22,23,2,9.09
2022-02,22,24,2,9.09
2022-02,22,25,1,4.55
2022-02,22,26,2,9.09
2022-02,22,27,2,9.09
2022-02,22,29,2,9.09
2022-02,22,30,2,9.09
2022-02,22,31,2,9.09
2022-02,22,33,1,4.55
2022-02,22,34,1,4.55
2022-02,22,35,4,18.18
2022-02,22,36,5,22.73
2022-03,30,0,30,100.0
2022-03,30,1,1,3.33
2022-03,30,2,1,3.33
2022-03,30,3,1,3.33
2022-03,30,4,1,3.33
2022-03,30,5,2,6.67
2022-03,30,6,3,10.0
2022-03,30,7,1,3.33
2022-03,30,8,1,3.33
2022-03,30,9,3,10.0
2022-03,30,10,1,3.33
2022-03,30,11,2,6.67
2022-03,30,12,4,13.33
2022-03,30,13,4,13.33
2022-03,30,14,4,13.33
2022-03,30,15,2,6.67
2022-03,30,16,3,10.0
2022-03,30,18,3,10.0
2022-03,30,19,3,10.0
2022-03,30,20,2,6.67
2022-03,30,21,1,3.33
2022-03,30,22,3,10.0
2022-03,30,23,3,10.0
2022-03,30,24,3,10.0
2022-03,30,25,5,16.67
