shipping_province,shipping_city,total_orders,total_revenue,average_order_value
Jawa Tengah,Semarang,141,76571616,543061
Jawa Barat,Depok,150,75974249,506495
Sumatera Utara,Medan,155,75476440,486945
Jawa Barat,Bekasi,151,69672371,461406
Sulawesi Utara,Manado,138,69199639,501447
Sulawesi Selatan,Makassar,138,67318630,487816
Kalimantan Barat,Pontianak,148,67128230,453569
Banten,Tangerang,132,66851296,506449
Jawa Timur,Surabaya,112,65661283,586261
Kalimantan Timur,Balikpapan,124,64958371,523858
Sumatera Selatan,Palembang,121,62435966,516000
Sumatera Barat,Padang,124,62141833,501144
Jawa Timur,Malang,147,61896178,421062
Jawa Barat,Bandung,122,61303115,502485
Kalimantan Selatan,Banjarmasin,105,61252354,583356
Riau,Pekanbaru,106,58185681,548922
Jawa Barat,Bogor,92,51981808,565020
DKI Jakarta,Jakarta,110,51340784,466734
DI Yogyakarta,Yogyakarta,99,48806208,492992
Bali,Denpasar,106,47184327,445135
