order_month,total_orders,total_units_sold,gross_revenue,total_discount,net_revenue,net_aov
2022-01,38,87,22273000,519690,21753310,572456
2022-02,23,53,11457000,211317,11245683,488943
2022-03,36,76,21584000,421508,21162492,587847
2022-04,35,92,19498000,458972,19039028,543972
2022-05,27,52,14658000,384283,14273717,528656
2022-06,32,60,10270000,344839,9925161,310161
2022-07,34,64,14946000,300164,14645836,430760
2022-08,28,59,10721000,441558,10279442,367123
2022-09,30,62,17658000,329384,17328616,577621
2022-10,33,82,20078000,449238,19628762,594811
2022-11,39,76,20624000,425243,20198757,517917
2022-12,34,76,19604000,329862,19274138,566886
2023-01,75,166,46754000,945280,45808720,610783
2023-02,58,121,27679000,778137,26900863,463808
2023-03,83,186,43864000,1235068,42628932,513602
2023-04,79,179,43811000,715515,43095485,545512
2023-05,89,180,44630000,1118589,43511411,488892
2023-06,79,170,38640000,809024,37830976,478873
2023-07,70,146,32734000,749505,31984495,456921
2023-08,72,146,32904000,772725,32131275,446268
2023-09,64,116,29494000,893849,28600151,446877
2023-10,71,156,37284000,967200,36316800,511504
2023-11,60,113,24367000,896921,23470079,391168
2023-12,71,163,36607000,1028590,35578410,501104
2024-01,83,176,43134000,1188830,41945170,505363
2024-02,106,212,50688000,1302877,49385123,465897
2024-03,69,155,33975000,938786,33036214,478786
2024-04,92,192,45998000,992866,45005134,489186
2024-05,102,201,54579000,1264020,53314980,522696
2024-06,80,187,38393000,1026827,37366173,467077
2024-07,83,173,42037000,1008636,41028364,494318
2024-08,73,186,44224000,1067895,43156105,591180
2024-09,78,179,40701000,1011934,39689066,508834
2024-10,91,191,43479000,1017597,42461403,466609
2024-11,88,203,46597000,1332512,45264488,514369
2024-12,82,177,42513000,928808,41584192,507124
2025-01,100,237,60283000,1093648,59189352,591894
2025-02,134,292,68028000,1725924,66302076,494792
